id,trigger,conditions,script,text,options,notes,Column 08
vft_findshipsTalkChoseLove,DialogOptionSelected,$option == vft_type_love,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 0
CallEvent $valkft_eventRef nextStage",女将军突然浑身一颤，眼中的银河浪涛汹涌。已被岁月刻下伤痕的面容上，竟泛起了令人难过的悲恸与哀伤，她深深地看了你一眼，头也不回地离开了。,0:cutCommLink:离开,,
vft_findshipsTalkChoseHate,DialogOptionSelected,$option == vft_type_hate,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 1
CallEvent $valkft_eventRef nextStage",女将军发出一声叹息，转身离去，背影落魄，你向来不相信小说中虚伪的描写，但那一刹那，你真的觉得她好像老了十岁。,0:cutCommLink:离开,,
vft_findshipsTalkChoseNormal,DialogOptionSelected,$option == vft_type_normal,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 2
CallEvent $valkft_eventRef nextStage","义眼快速摆动，将使用者的心态暴露无遗，女将军很快压制住了自己的情绪。""该出发了""，她头也不回，默默离去。",0:cutCommLink:离开,,
,,,,,,,
vft_findHeEncounter,BeginFleetEncounter,"!$talked
$valkft_isHisFleet score:100","unset $entity.ignorePlayerCommRequests
AddText ""你终于见到了 $personName. 这个令女将军感慨万千的男人."" $faction.baseColor
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
$talked = true
CallEvent $valkft_eventRef succeed
OpenComms",,,,
vft_findHeGreeting0,OpenCommLink,$valkft_isHe score:100,"$entity.ignorePlayerCommRequests = true
$vft_fhc = 1
","你意外地接收到了 他的通讯请求，接通通讯，你正感到诧异，他便自言自语了起来，像是明白你为何而来。

""你是她派来的人吧? 这一天来得也不算太晚。""

游荡者领袖 耷拉着眼皮，此刻的他 看上去有点落魄，比起舰队司令 更像一个路边的乞丐。

""多年的虚空旅程 让我们损失惨重，这艘船 过去可是满载着 革命者的希望和热情啊。我们曾经尝试 建立自己的乌托邦，却在 新世界 亏光了燃料钱，该死的联盟商人 操纵脆弱的殖民地经济，制造饥荒，从人们手中压榨 每一个星币。""

""当我意识到 摧毁贸易舰队 让我们无法在 联盟世界 中立足时，为时已晚。舰队向外驶去，一直向外。穿越 漫长的 亚特兰蒂斯星云 外侧航道，抵达 不法者们的乐园，在瘆人的边缘世界，我们一次次经历火并，内讧，欺诈，离别，直到现在。

她也对 这件事耿耿于怀？你好像对 女武神组织 的黑幕有所了解，我也不介意 在大打出手前，告诉你更多的事。""","0:vft_he_continue:""你们不是曾经相爱吗, 又怎么会走到这一步? """,,
vft_findHeGreeting1,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 1",$vft_fhc = 2,"""不知从何时起，沟通停滞了，双方默默地 用行动 坚持着自己的正义...大战前夕，我和追随者 将旧式卡宾枪和电磁步枪 一同藏匿在补给箱中，搬到战舰上。我们不可能 坐失良机，可怕的 星际强权 压得运动无法喘息。到 女武神组织 力量投射的边缘去!  那是我们 唯一的出路...""","0:vft_he_continue:""无法否认这是一场伟大的抗争.""",,
vft_findHeGreeting2,DialogOptionSelected,"$option == vft_he_continue
$vft_fhc == 2",$vft_fhc = 3,"""我们以雷霆般的姿态 掌控了一个分舰队。革命者在尚未暴露的情况下 登上了 一艘约书亚改型 的原型舰，击毙了卫戍 的步行枪骑兵，她们的脉冲偏转场 在火力覆盖下彻底失效，这艘 战列舰 的陷落象征着运动的巨大成就。""

""哨站是最后一个攻击目标，随着 全副武装的暴徒们 将其洗劫一空，我们从组织中 脱离，成为寂静虚空的 住民。基于俘获的 战列舰 骨架，和哨站的机密，我打造了这架战争机器，并决定以铁血 来捍卫我人生的意义至 最后一刻!  ""

他的眼中 透露着坚毅，抬起右手准备切断通讯。","0:vft_he_continue:""那容许我再问最后一个问题, 你现在又是怎么看待她的呢?""",,
vft_findHeLove,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 0
$vft_fhc == 3",,"""她对我而言什么时刻都是唯一的。"" 双方都沉默了。片刻，他看了你一眼，眼里的星辰仿佛从未熄灭，他毅然决然地断开了通讯连接，来自他的信息戛然而止，宣告着一段故事的结束 和 一场战斗的来临。",cutCommLink:切断链接,,
vft_findHeHate,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 1
$vft_fhc == 3",,"""我厌恶."" 通讯器陷入沉默，旗舰剧烈震荡，你 往舰桥外望去，有人 正大喊着""受到炮击! 受到炮击! """,cutCommLink:切断链接,,
vft_findHeNormal,DialogOptionSelected,"$option == vft_he_continue
$valkft_type == 2
$vft_fhc == 3",,"""从抛弃组织的那一刻起，我们便再无瓜葛。"" 传过一阵电流声，通讯中断了。",cutCommLink:切断链接,,
,,,,,,,
